Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Nec.MAI/2020;Nec.JUN/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Cons.DEZ/2019;Cons.JAN/2020;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;DA04;;10008496;TP P/TB TRANSL C/500 12X75 DESKARPLAS;0,000;0,000;0,000;PAC;29,90;0,00;1,368;0,000;ZROH;VV;007;0,0;263,0;;;17;13;4;C;Z1;20,000;0,000;0,000;20,000;0,000;018;Cobertura 18 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;20,000;1,500;2,000;2,500;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;5400032299;09/01/2020;03/02/2020;20,000;;;;0,000;;;;0,000;;;;0;4;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;R874G;
;DA04;;10007259;TB FLUORETO POLYMED 2.5ML LABOR IMPORT;0,000;0,000;0,000;UN;0,00;0,00;0,000;0,000;ZROH;ZM;007;0,0;999,0;;;21;17;4;C;Z1;100,000;0,000;0,000;100,000;0,000;;;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;004;;;0;0;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;50204;
;D969;;10006583;PISSETA BICO CV E MANG GD TRANSP 500ML;0,000;0,000;0,000;UN;4,85;0,00;0,152;0,000;ZROH;VV;006;0,0;26,0;DA04;ARMAZEM-PE;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;1,000;0,750;1,000;1,250;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;3,000;;0;0,00;0,00;;0,000;7,000;0,000;8,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;13/01/2020;31/12/9999;1,000;;;;0,000;;;;0,000;;;;235;267;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;;
;DA04;;10006583;PISSETA BICO CV E MANG GD TRANSP 500ML;0,000;0,000;0,000;UN;4,85;0,00;0,000;0,000;ZROH;ND;021;0,0;0,0;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;1,000;1,000;2,000;0,000;0,000;0,000;@3J@;1017545130;10;;27/01/2020;;1,000;0,000;;0,00;2,000;;0;0,00;0,00;;0,000;7,000;2,000;6,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;004;;;76;387;@08@;0,000;0;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;;
;DA04;;10006583;PISSETA BICO CV E MANG GD TRANSP 500ML;0,000;0,000;0,000;UN;4,85;0,00;0,000;0,000;ZROH;ND;021;0,0;0,0;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;1,000;1,000;2,000;0,000;0,000;0,000;@3J@;1017545131;10;;27/01/2020;;1,000;0,000;;0,00;2,000;;0;0,00;0,00;;0,000;7,000;2,000;6,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;004;;;76;387;@08@;0,000;0;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;;
;D969;;10011495;DISC ERITROMI 15MCG C/50 (DUPL) 10013043;0,000;0,000;0,000;UN;9,05;0,00;0,000;0,000;ZROH;ND;006;0,0;999,0;;;0;0;0;;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;DIA;DIARIO;DA04;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;235;267;@08@;0,000;0;@08@;0,000;0,0;;0,000;05;OBSOLETO/SUBSTITUIDO;1629;10009066
;DA04;;10001675;CLB TSH ARCH ABBOTT;0,000;0,000;0,000;KIT;243,00;0,00;0,000;0,000;ZROH;PD;001;0,0;999,0;;;15;11;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;SEX;FORN. SEX - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;174;174;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;07K6201;
;DA04;;20003572;FITA IMP 52104001 OKIDATA;0,000;0,000;0,000;RL;133,77;0,00;0,000;0,000;ZHIB;ZM;018;0,0;999,0;;;24;20;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;SES;FORN. SEG - SEMANAL;;99,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;004;;;0;0;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1200140007;
;D969;;10008484;CTR LIQUICHEK IMUNOLOGIA NV3;0,000;0,000;0,000;KIT;234,99;0,00;0,948;0,000;ZROH;VV;005;0,0;17,0;DA04;ARMAZEM-PE;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;4,000;5,250;6,000;7,500;6,000;6,000;7,500;@3J@;;0;;;;0,000;0,000;;0,00;36,000;;0;0,00;0,00;;5,000;1,000;3,000;7,000;5,000;9,000;10,000;4,000;4,000;5,000;10,000;2,000;5500001368;13/01/2020;31/12/9999;2,000;5500001368;16/01/2020;31/12/9999;1,000;5500001368;20/01/2020;31/12/9999;1,000;;;;235;267;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;593;
;DA04;;10008484;CTR LIQUICHEK IMUNOLOGIA NV3;7,000;7,000;0,000;KIT;234,99;1.644,92;3,036;0,000;ZROH;PD;002;14,0;43,0;0020008122;BIO-RAD LABORATORIOS BRASIL LTDA;15;11;4;C;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;4,000;7,000;6,000;7,000;6,000;6,000;7,000;@3J@;;0;;;;0,000;0,000;;0,00;30,000;;0;0,00;1.500,00;;7,000;5,000;3,000;5,000;5,000;9,000;10,000;4,000;4,000;5,000;10,000;2,000;4500317258;13/01/2020;;4,000;;;;0,000;;;;0,000;001;;;8;6;@08@;0,000;0;@0A@;1,000;4,0;@08@;0,000;00;LIBERADO;593;
